#cell_line_id	d_cid	log10_conc	ic50
ACH-000075	73759760	-10.81697	1.003
ACH-000522	73759760	-7.0	-0.174
ACH-000024	73759760	-7.477121	-0.879
ACH-000327	73759760	-8.431364	1.128
ACH-000711	73759760	-8.908485	1.004
ACH-000711	73759760	-7.477121	-0.122
ACH-000482	73759760	-7.0	0.027999999999999997
ACH-000888	73759760	-7.477121	0.537
ACH-000406	73759760	-10.339849	1.014
ACH-000825	73759760	-10.81697	1.034
ACH-000660	73759760	-9.862727	0.882
ACH-000916	73759760	-7.0	-0.426
ACH-000528	73759760	-10.81697	0.996
ACH-000589	73759760	-10.339849	0.9844999999999999
ACH-000401	73759760	-9.862727	1.061
ACH-000786	73759760	-7.954243	-0.192
ACH-000401	73759760	-9.385606	0.896
ACH-000786	73759760	-9.862727	1.069
ACH-001680	73759760	-8.908485	0.99
ACH-000186	73759760	-8.908485	0.904
ACH-000435	73759760	-10.81697	1.01
ACH-000019	73759760	-9.862727	0.979
ACH-000024	73759760	-7.954243	-0.085
ACH-000759	73759760	-8.431364	0.778
ACH-000875	73759760	-9.862727	0.96
ACH-000061	73759760	-10.339849	1.001
ACH-001274	73759760	-10.81697	1.015
ACH-000124	73759760	-8.908485	0.988
ACH-000849	73759760	-7.477121	0.046
ACH-000945	73759760	-10.81697	0.9615
ACH-000587	73759760	-7.477121	0.524
ACH-000787	73759760	-7.0	0.103
ACH-000147	73759760	-7.477121	0.075
ACH-000463	73759760	-7.954243	1.052
ACH-000481	73759760	-8.908485	1.047
ACH-000138	73759760	-7.0	0.346
ACH-000343	73759760	-7.477121	0.361
ACH-000878	73759760	-9.862727	0.9555
ACH-000878	73759760	-10.81697	0.9610000000000001
ACH-000357	73759760	-7.954243	0.835
ACH-000800	73759760	-7.954243	0.983
ACH-000277	73759760	-8.908485	0.99
ACH-000454	73759760	-9.862727	0.99
ACH-000186	73759760	-7.954243	0.714
ACH-000589	73759760	-8.908485	0.9795
ACH-000892	73759760	-10.81697	0.684
ACH-000265	73759760	-9.862727	0.979
ACH-000845	73759760	-10.81697	0.982
ACH-000875	73759760	-7.954243	0.716
ACH-000875	73759760	-8.431364	0.995
ACH-000654	73759760	-8.908485	1.06
ACH-000840	73759760	-7.477121	0.79
ACH-000759	73759760	-7.954243	0.397
ACH-000759	73759760	-8.908485	0.906
ACH-000017	73759760	-7.0	-0.403
ACH-000856	73759760	-9.385606	0.978
ACH-002003	73759760	-9.385606	0.956
ACH-000853	73759760	-10.81697	1.0465
ACH-000819	73759760	-7.954243	0.928
ACH-000510	73759760	-9.862727	0.9704999999999999
ACH-000392	73759760	-7.0	0.567
ACH-000660	73759760	-8.431364	1.023
ACH-000866	73759760	-7.0	0.324
ACH-000285	73759760	-8.431364	1.026
ACH-000536	73759760	-10.81697	1.018
ACH-000067	73759760	-9.862727	1.041
ACH-000019	73759760	-9.385606	1.012
ACH-000655	73759760	-8.431364	0.958
ACH-000914	73759760	-8.431364	0.953
ACH-000944	73759760	-10.81697	1.247
ACH-000265	73759760	-9.385606	1.035
ACH-000849	73759760	-7.0	0.0629999999999999
ACH-000805	73759760	-7.954243	0.693
ACH-000603	73759760	-10.339849	0.909
ACH-000124	73759760	-7.477121	-0.59
ACH-000652	73759760	-8.431364	1.021
ACH-000759	73759760	-7.477121	0.334
ACH-000522	73759760	-7.477121	-0.115
ACH-000510	73759760	-7.477121	0.7444999999999999
ACH-000138	73759760	-8.431364	1.035
ACH-000288	73759760	-8.431364	0.662
ACH-000138	73759760	-10.81697	0.973
ACH-000138	73759760	-10.339849	0.985
ACH-000976	73759760	-8.908485	0.842
ACH-000062	73759760	-7.477121	0.46149999999999997
ACH-000976	73759760	-8.431364	0.836
ACH-000731	73759760	-7.477121	0.606
ACH-000075	73759760	-9.385606	0.974
ACH-000015	73759760	-7.0	-0.479
ACH-000845	73759760	-8.908485	1.017
ACH-000979	73759760	-10.339849	0.986
ACH-000944	73759760	-8.908485	1.007
ACH-000783	73759760	-10.81697	1.067
ACH-000481	73759760	-10.81697	1.011
ACH-000603	73759760	-10.81697	1.028
ACH-000162	73759760	-8.431364	0.962
ACH-000849	73759760	-9.385606	0.944
ACH-000849	73759760	-10.339849	0.943
ACH-000603	73759760	-8.908485	0.961
ACH-000138	73759760	-9.385606	0.95
ACH-000652	73759760	-9.385606	0.979
ACH-000511	73759760	-10.81697	1.008
ACH-000158	73759760	-7.0	-0.236
ACH-000583	73759760	-10.81697	1.0
ACH-000307	73759760	-7.477121	0.044
ACH-000378	73759760	-7.477121	0.6985
ACH-000656	73759760	-8.908485	0.981
ACH-000856	73759760	-7.954243	0.734
ACH-000893	73759760	-10.339849	0.991
ACH-000264	73759760	-8.908485	1.013
ACH-002004	73759760	-7.477121	0.095
ACH-000660	73759760	-10.81697	0.868
ACH-000786	73759760	-10.339849	0.966
ACH-000365	73759760	-7.477121	-0.054
ACH-000028	73759760	-7.477121	0.187
ACH-000757	73759760	-10.339849	1.02
ACH-001680	73759760	-8.431364	1.004
ACH-000944	73759760	-10.339849	1.068
ACH-000731	73759760	-9.862727	0.9450000000000001
ACH-000781	73759760	-7.0	0.264
ACH-000849	73759760	-7.954243	0.369
ACH-000265	73759760	-7.0	-0.029
ACH-000113	73759760	-10.339849	0.983
ACH-000481	73759760	-10.339849	0.901
ACH-000186	73759760	-9.862727	0.92
ACH-000138	73759760	-7.954243	0.841
ACH-000414	73759760	-7.954243	0.855
ACH-000355	73759760	-7.954243	0.99
ACH-000819	73759760	-8.431364	0.898
ACH-000014	73759760	-9.385606	0.936
ACH-000273	73759760	-7.0	-0.338
ACH-000573	73759760	-7.0	0.077
ACH-000510	73759760	-10.81697	0.9784999999999999
ACH-000061	73759760	-7.954243	-0.197
ACH-000781	73759760	-9.385606	1.069
ACH-000677	73759760	-7.954243	0.8340000000000001
ACH-000124	73759760	-7.0	-0.59
ACH-000019	73759760	-8.908485	0.973
ACH-000028	73759760	-10.81697	0.958
ACH-000638	73759760	-8.431364	0.845
ACH-000367	73759760	-8.431364	1.001
ACH-000845	73759760	-7.0	-0.188
ACH-000849	73759760	-8.431364	0.798
ACH-000327	73759760	-9.862727	1.081
ACH-000652	73759760	-7.954243	0.878
ACH-000900	73759760	-7.0	0.362
ACH-000652	73759760	-7.0	0.407
ACH-000979	73759760	-9.385606	1.045
ACH-000138	73759760	-7.477121	0.326
ACH-000015	73759760	-7.477121	0.375
ACH-000288	73759760	-7.0	-0.015
ACH-000878	73759760	-8.431364	0.944
ACH-000867	73759760	-7.477121	-0.0649999999999999
ACH-000155	73759760	-7.0	0.387
ACH-000355	73759760	-8.908485	1.03
ACH-000440	73759760	-10.81697	1.061
ACH-001680	73759760	-9.862727	0.979
ACH-000482	73759760	-9.385606	0.8029999999999999
ACH-001075	73759760	-10.81697	1.0085
ACH-000916	73759760	-10.81697	0.933
ACH-000292	73759760	-8.908485	1.015
ACH-000075	73759760	-7.477121	0.753
ACH-000589	73759760	-10.81697	1.009
ACH-000840	73759760	-10.339849	0.715
